Site;Road width (m);Road verge;Traffic.int;Group;Side;Total no. of flowers;Number marked;Same side;Direction;Distance to marked (m);Group code;Insect abundance;Number of flowers;delta.flower;Better side
Arlanda;6;SR;829;3A;W;33;24;Y;X;24;A;5;414;;Y
Arlanda;6;SR;829;2A;W;31;25;Y;X;12;A;5;414;;Y
Arlanda;6;SR;829;3B;E;29;2;N;X;24,74;B;5;139;275;N
Arlanda;6;SR;829;2B;E;33;2;N;X;13,416;B;5;139;275;N
Arlanda;6;SR;829;2C;E;30;17;N;Y;18;C;5;139;;N
Arlanda;6;SR;829;1C;E;28;2;N;Y;30;C;5;139;;N
Tierp;6;SR;125;3A;N;28;0;Y;X;24;A;0;486;;N
Tierp;6;SR;125;2A;N;33;1;Y;X;12;A;0;486;;N
Tierp;6;SR;125;3B;S;32;0;N;X;24,74;B;0;936;-450;Y
Tierp;6;SR;125;2B;S;22;0;N;X;13,416;B;0;936;-450;Y
Tierp;6;SR;125;2C;S;31;0;N;Y;18;C;0;936;;Y
Tierp;6;SR;125;1C;S;31;0;N;Y;30;C;0;936;;Y
Hargshamn;6;SR;1726;3A;W;32;0;Y;X;24;A;1;518;;Y
Hargshamn;6;SR;1726;2A;W;30;14;Y;X;12;A;1;518;;Y
Hargshamn;6;SR;1726;3B;E;32;1;N;X;24,74;B;1;285;233;N
Hargshamn;6;SR;1726;2B;E;29;11;N;X;13,416;B;1;285;233;N
Hargshamn;6;SR;1726;2C;E;30;1;N;Y;18;C;1;285;;N
Hargshamn;6;SR;1726;1C;E;30;1;N;Y;30;C;1;285;;N
Vänge;6;SP;562;3A;E;31;0;Y;X;24;A;2;534;;Y
Vänge;6;SP;562;2A;E;26;5;Y;X;12;A;2;534;;Y
Vänge;6;SP;562;3B;W;26;1;N;X;24,74;B;2;93;441;N
Vänge;6;SP;562;2B;W;26;3;N;X;13,416;B;2;93;441;N
Vänge;6;SP;562;2C;W;29;1;N;Y;18;C;2;93;;N
Vänge;6;SP;562;1C;W;29;4;N;Y;30;C;2;93;;N
Gottröra;6,4;SP;3718;3A;S;30;4;Y;X;25,6;A;1;240;;Y
Gottröra;6,4;SP;3718;2A;S;28;0;Y;X;12,8;A;1;240;;Y
Gottröra;6,4;SP;3718;3B;N;40;1;N;X;26,39;B;1;189;51;N
Gottröra;6,4;SP;3718;2B;N;33;0;N;X;14,31;B;1;189;51;N
Gottröra;6,4;SP;3718;2C;N;32;0;N;Y;19,2;C;1;189;;N
Gottröra;6,4;SP;3718;1C;N;33;0;N;Y;32;C;1;189;;N
Sigtuna;6;SR;6300;3A;N;20;4;Y;X;24;A;3;789;;Y
Sigtuna;6;SR;6300;2A;N;24;5;Y;X;12;A;3;789;;Y
Sigtuna;6;SR;6300;3B;S;24;5;N;X;24,74;B;3;167;622;N
Sigtuna;6;SR;6300;2B;S;22;3;N;X;13,416;B;3;167;622;N
Sigtuna;6;SR;6300;2C;S;25;0;N;Y;18;C;3;167;;N
Sigtuna;6;SR;6300;1C;S;24;1;N;Y;30;C;3;167;;N
Aspö;6;SR;5675;3A;E;29;0;Y;X;24;A;11;57;;N
Aspö;6;SR;5675;2A;E;35;5;Y;X;12;A;11;57;;N
Aspö;6;SR;5675;3B;W;32;4;N;X;24,74;B;11;1403;-1346;Y
Aspö;6;SR;5675;2B;W;27;0;N;X;13,416;B;11;1403;-1346;Y
Aspö;6;SR;5675;2C;W;26;3;N;Y;18;C;11;1403;;Y
Aspö;6;SR;5675;1C;W;32;2;N;Y;30;C;11;1403;;Y
Strängnäs;6;SP;372;3A;E;28;1;Y;X;24;A;18;108;;Y
Strängnäs;6;SP;372;2A;E;23;6;Y;X;12;A;18;108;;Y
Strängnäs;6;SP;372;3B;W;26;1;N;X;24,74;B;18;101;7;N
Strängnäs;6;SP;372;2B;W;25;1;N;X;13,416;B;18;101;7;N
Strängnäs;6;SP;372;2C;W;25;2;N;Y;18;C;18;101;;N
Strängnäs;6;SP;372;1C;W;26;0;N;Y;30;C;18;101;;N
Häggeby;6;SR;3312;3A;S;33;1;Y;X;24;A;6;366;;Y
Häggeby;6;SR;3312;2A;S;52;6;Y;X;12;A;6;366;;Y
Häggeby;6;SR;3312;3B;N;35;0;N;X;24,74;B;6;157;209;N
Häggeby;6;SR;3312;2B;N;45;1;N;X;13,416;B;6;157;209;N
Häggeby;6;SR;3312;2C;N;50;0;N;Y;18;C;6;157;;N
Häggeby;6;SR;3312;1C;N;56;0;N;Y;30;C;6;157;;N
Skärplinge;6;SR;570;3A;W;32;1;Y;X;24;A;0;926;;Y
Skärplinge;6;SR;570;2A;W;28;2;Y;X;12;A;0;926;;Y
Skärplinge;6;SR;570;3B;E;32;2;N;X;24,74;B;0;612;314;N
Skärplinge;6;SR;570;2B;E;29;2;N;X;13,416;B;0;612;314;N
Skärplinge;6;SR;570;2C;E;32;2;N;Y;18;C;0;612;;N
Skärplinge;6;SR;570;1C;E;34;2;N;Y;30;C;0;612;;N
Tosterön;7;SP;5764;3A;E;26;7;Y;X;28;A;3;13;;N
Tosterön;7;SP;5764;2A;E;35;15;Y;X;14;A;3;13;;N
Tosterön;7;SP;5764;3B;W;28;12;N;X;28,86;B;3;104;-91;Y
Tosterön;7;SP;5764;2B;W;30;4;N;X;15,652;B;3;104;-91;Y
Tosterön;7;SP;5764;2C;W;30;15;N;Y;21;C;3;104;;Y
Tosterön;7;SP;5764;1C;W;40;0;N;Y;35;C;3;104;;Y
Skutskär;6;SR;930;3A;W;28;0;Y;X;24;A;2;115;;N
Skutskär;6;SR;930;2A;W;22;4;Y;X;12;A;2;115;;N
Skutskär;6;SR;930;3B;E;31;3;N;X;24,74;B;2;473;-358;Y
Skutskär;6;SR;930;2B;E;31;1;N;X;13,416;B;2;473;-358;Y
Skutskär;6;SR;930;2C;E;37;1;N;Y;18;C;2;473;;Y
Skutskär;6;SR;930;1C;E;30;0;N;Y;30;C;2;473;;Y
Knutby;6;SR;373;3A;W;29;1;Y;X;24;A;1;1172;;Y
Knutby;6;SR;373;2A;W;28;3;Y;X;12;A;1;1172;;Y
Knutby;6;SR;373;3B;E;30;1;N;X;24,74;B;1;1053;119;N
Knutby;6;SR;373;2B;E;30;1;N;X;13,416;B;1;1053;119;N
Knutby;6;SR;373;2C;E;32;1;N;Y;18;C;1;1053;;N
Knutby;6;SR;373;1C;E;31;2;N;Y;30;C;1;1053;;N
Östhammar;6;SP;1662;3A;W;35;2;Y;X;24;A;2;535;;Y
Östhammar;6;SP;1662;2A;W;33;21;Y;X;12;A;2;535;;Y
Östhammar;6;SP;1662;3B;E;31;0;N;X;24,74;B;2;259;276;N
Östhammar;6;SP;1662;2B;E;33;20;N;X;13,416;B;2;259;276;N
Östhammar;6;SP;1662;2C;E;35;0;N;Y;18;C;2;259;;N
Östhammar;6;SP;1662;1C;E;30;0;N;Y;30;C;2;259;;N
Enköping;6;SP;841;3A;E;27;1;Y;X;24;A;7;402;;Y
Enköping;6;SP;841;2A;E;30;10;Y;X;12;A;7;402;;Y
Enköping;6;SP;841;3B;W;30;4;N;X;24,74;B;7;123;279;N
Enköping;6;SP;841;2B;W;35;0;N;X;13,416;B;7;123;279;N
Enköping;6;SP;841;2C;W;31;0;N;Y;18;C;7;123;;N
Enköping;6;SP;841;1C;W;30;0;N;Y;30;C;7;123;;N
Skogstibble;6;SP;158;3A;S;26;3;Y;X;24;A;1;413;;Y
Skogstibble;6;SP;158;2A;S;32;11;Y;X;12;A;1;413;;Y
Skogstibble;6;SP;158;3B;N;22;3;N;X;24,74;B;1;136;277;N
Skogstibble;6;SP;158;2B;N;33;13;N;X;13,416;B;1;136;277;N
Skogstibble;6;SP;158;2C;N;29;11;N;Y;18;C;1;136;;N
Skogstibble;6;SP;158;1C;N;33;7;N;Y;30;C;1;136;;N
Rovsättra;5,7;SR;267;3A;E;34;4;Y;X;22,8;A;4;628;;Y
Rovsättra;5,7;SR;267;2A;E;29;5;Y;X;11,4;A;4;628;;Y
Rovsättra;5,7;SR;267;3B;W;33;2;N;X;23,5;B;4;475;153;N
Rovsättra;5,7;SR;267;2B;W;30;0;N;X;12,746;B;4;475;153;N
Rovsättra;5,7;SR;267;2C;W;36;1;N;Y;17,1;C;4;475;;N
Rovsättra;5,7;SR;267;1C;W;34;0;N;Y;28,5;C;4;475;;N
Upplands-Väsby;6;SP;6168;3A;E;24;4;Y;X;24;A;7;244;;Y
Upplands-Väsby;6;SP;6168;2A;E;27;2;Y;X;12;A;7;244;;Y
Upplands-Väsby;6;SP;6168;3B;W;27;0;N;X;24,74;B;7;96;148;N
Upplands-Väsby;6;SP;6168;2B;W;27;0;N;X;13,416;B;7;96;148;N
Upplands-Väsby;6;SP;6168;2C;W;28;0;N;Y;18;C;7;96;;N
Upplands-Väsby;6;SP;6168;1C;W;22;0;N;Y;30;C;7;96;;N
Rimbo;6;SP;939;3A;N;52;1;Y;X;24;A;1;695;;Y
Rimbo;6;SP;939;2A;N;42;0;Y;X;12;A;1;695;;Y
Rimbo;6;SP;939;3B;S;27;0;N;X;24,74;B;1;107;588;N
Rimbo;6;SP;939;2B;S;48;1;N;X;13,416;B;1;107;588;N
Rimbo;6;SP;939;2C;S;50;1;N;Y;18;C;1;107;;N
Rimbo;6;SP;939;1C;S;57;0;N;Y;30;C;1;107;;N
Björklinge;6,2;SP;247;3A;N;39;2;Y;X;24,8;A;0;183;;Y
Björklinge;6,2;SP;247;2A;N;34;6;Y;X;12,4;A;0;183;;Y
Björklinge;6,2;SP;247;3B;S;33;0;N;X;25,563;B;0;131;-52;N
Björklinge;6,2;SP;247;2B;S;47;5;N;X;13,864;B;0;131;-52;N
Björklinge;6,2;SP;247;2C;S;18;2;N;Y;18,6;C;0;131;;N
Björklinge;6,2;SP;247;1C;S;31;2;N;Y;31;C;0;131;;N
Arlanda;6;SR;829;3A;W;33;1;N;X;24,74;A;4;414;-275;Y
Arlanda;6;SR;829;2A;W;31;0;N;X;13,416;A;4;414;-275;Y
Arlanda;6;SR;829;3B;E;29;12;Y;X;24;B;4;139;;N
Arlanda;6;SR;829;2B;E;33;15;Y;X;12;B;4;139;;N
Arlanda;6;SR;829;2C;E;30;1;Y;Y;12;C;4;139;;N
Arlanda;6;SR;829;1C;E;28;1;Y;Y;24;C;4;139;;N
Tierp;6;SR;125;3A;N;28;2;N;X;24,74;A;1;486;450;N
Tierp;6;SR;125;2A;N;33;0;N;X;13,416;A;1;486;450;N
Tierp;6;SR;125;3B;S;32;3;Y;X;24;B;1;936;;Y
Tierp;6;SR;125;2B;S;22;2;Y;X;12;B;1;936;;Y
Tierp;6;SR;125;2C;S;31;0;Y;Y;12;C;1;936;;Y
Tierp;6;SR;125;1C;S;31;1;Y;Y;24;C;1;936;;Y
Hargshamn;6;SR;1726;3A;W;32;7;N;X;24,74;A;3;518;-233;Y
Hargshamn;6;SR;1726;2A;W;30;2;N;X;13,416;A;3;518;-233;Y
Hargshamn;6;SR;1726;3B;E;32;8;Y;X;24;B;3;285;;N
Hargshamn;6;SR;1726;2B;E;29;13;Y;X;12;B;3;285;;N
Hargshamn;6;SR;1726;2C;E;30;1;Y;Y;12;C;3;285;;N
Hargshamn;6;SR;1726;1C;E;30;2;Y;Y;24;C;3;285;;N
Vänge;6;SP;562;3A;E;31;14;N;X;24,74;A;0;534;-441;Y
Vänge;6;SP;562;2A;E;26;11;N;X;13,416;A;0;534;-441;Y
Vänge;6;SP;562;3B;W;26;10;Y;X;24;B;0;93;;N
Vänge;6;SP;562;2B;W;26;12;Y;X;12;B;0;93;;N
Vänge;6;SP;562;2C;W;29;10;Y;Y;12;C;0;93;;N
Vänge;6;SP;562;1C;W;29;3;Y;Y;24;C;0;93;;N
Gottröra;6,4;SP;3718;3A;S;30;1;N;X;26,39;A;0;240;-51;Y
Gottröra;6,4;SP;3718;2A;S;28;2;N;X;14,31;A;0;240;-51;Y
Gottröra;6,4;SP;3718;3B;N;40;0;Y;X;25,6;B;0;189;;N
Gottröra;6,4;SP;3718;2B;N;33;1;Y;X;12,8;B;0;189;;N
Gottröra;6,4;SP;3718;2C;N;32;0;Y;Y;12,8;C;0;189;;N
Gottröra;6,4;SP;3718;1C;N;33;0;Y;Y;25,6;C;0;189;;N
Sigtuna;6;SR;6300;3A;N;20;10;N;X;24,74;A;5;789;-622;Y
Sigtuna;6;SR;6300;2A;N;24;2;N;X;13,416;A;5;789;-622;Y
Sigtuna;6;SR;6300;3B;S;24;8;Y;X;24;B;5;167;;N
Sigtuna;6;SR;6300;2B;S;22;16;Y;X;12;B;5;167;;N
Sigtuna;6;SR;6300;2C;S;25;22;Y;Y;12;C;5;167;;N
Sigtuna;6;SR;6300;1C;S;24;15;Y;Y;24;C;5;167;;N
Aspö;6;SR;5675;3A;E;29;0;N;X;24,74;A;9;57;1346;N
Aspö;6;SR;5675;2A;E;35;1;N;X;13,416;A;9;57;1346;N
Aspö;6;SR;5675;3B;W;32;18;Y;X;24;B;9;1403;;Y
Aspö;6;SR;5675;2B;W;27;6;Y;X;12;B;9;1403;;Y
Aspö;6;SR;5675;2C;W;26;1;Y;Y;12;C;9;1403;;Y
Aspö;6;SR;5675;1C;W;32;7;Y;Y;24;C;9;1403;;Y
Strängnäs;6;SP;372;3A;E;28;13;N;X;24,74;A;18;108;-7;Y
Strängnäs;6;SP;372;2A;E;23;7;N;X;13,416;A;18;108;-7;Y
Strängnäs;6;SP;372;3B;W;26;13;Y;X;24;B;18;101;;N
Strängnäs;6;SP;372;2B;W;25;20;Y;X;12;B;18;101;;N
Strängnäs;6;SP;372;2C;W;25;10;Y;Y;12;C;18;101;;N
Strängnäs;6;SP;372;1C;W;26;18;Y;Y;24;C;18;101;;N
Häggeby;6;SR;3312;3A;S;33;0;N;X;24,74;A;4;366;-209;Y
Häggeby;6;SR;3312;2A;S;52;2;N;X;13,416;A;4;366;-209;Y
Häggeby;6;SR;3312;3B;N;35;1;Y;X;24;B;4;157;;N
Häggeby;6;SR;3312;2B;N;45;4;Y;X;12;B;4;157;;N
Häggeby;6;SR;3312;2C;N;50;0;Y;Y;12;C;4;157;;N
Häggeby;6;SR;3312;1C;N;56;0;Y;Y;24;C;4;157;;N
Skärplinge;6;SR;570;3A;W;32;1;N;X;24,74;A;1;926;-314;Y
Skärplinge;6;SR;570;2A;W;28;0;N;X;13,416;A;1;926;-314;Y
Skärplinge;6;SR;570;3B;E;32;0;Y;X;24;B;1;612;;N
Skärplinge;6;SR;570;2B;E;29;3;Y;X;12;B;1;612;;N
Skärplinge;6;SR;570;2C;E;32;0;Y;Y;12;C;1;612;;N
Skärplinge;6;SR;570;1C;E;34;0;Y;Y;24;C;1;612;;N
Tosterön;7;SP;5764;3A;E;26;10;N;X;28,86;A;0;13;91;N
Tosterön;7;SP;5764;2A;E;35;2;N;X;15,652;A;0;13;91;N
Tosterön;7;SP;5764;3B;W;28;7;Y;X;28;B;0;104;;Y
Tosterön;7;SP;5764;2B;W;30;18;Y;X;14;B;0;104;;Y
Tosterön;7;SP;5764;2C;W;30;2;Y;Y;14;C;0;104;;Y
Tosterön;7;SP;5764;1C;W;40;0;Y;Y;28;C;0;104;;Y
Skutskär;6;SR;930;3A;W;28;1;N;X;24,74;A;0;115;358;N
Skutskär;6;SR;930;2A;W;22;2;N;X;13,416;A;0;115;358;N
Skutskär;6;SR;930;3B;E;31;0;Y;X;24;B;0;473;;Y
Skutskär;6;SR;930;2B;E;31;7;Y;X;12;B;0;473;;Y
Skutskär;6;SR;930;2C;E;37;2;Y;Y;12;C;0;473;;Y
Skutskär;6;SR;930;1C;E;30;0;Y;Y;24;C;0;473;;Y
Knutby;6;SR;373;3A;W;29;5;N;X;24,74;A;2;1172;-119;Y
Knutby;6;SR;373;2A;W;28;1;N;X;13,416;A;2;1172;-119;Y
Knutby;6;SR;373;3B;E;30;2;Y;X;24;B;2;1053;;N
Knutby;6;SR;373;2B;E;30;2;Y;X;12;B;2;1053;;N
Knutby;6;SR;373;2C;E;32;0;Y;Y;12;C;2;1053;;N
Knutby;6;SR;373;1C;E;31;1;Y;Y;24;C;2;1053;;N
Östhammar;6;SP;1662;3A;W;35;1;N;X;24,74;A;1;535;-276;Y
Östhammar;6;SP;1662;2A;W;33;2;N;X;13,416;A;1;535;-276;Y
Östhammar;6;SP;1662;3B;E;31;19;Y;X;24;B;1;259;;N
Östhammar;6;SP;1662;2B;E;33;27;Y;X;12;B;1;259;;N
Östhammar;6;SP;1662;2C;E;35;24;Y;Y;12;C;1;259;;N
Östhammar;6;SP;1662;1C;E;30;0;Y;Y;24;C;1;259;;N
Enköping;6;SP;841;3A;E;27;3;N;X;24,74;A;2;402;-279;Y
Enköping;6;SP;841;2A;E;30;4;N;X;13,416;A;2;402;-279;Y
Enköping;6;SP;841;3B;W;30;1;Y;X;24;B;2;123;;N
Enköping;6;SP;841;2B;W;35;8;Y;X;12;B;2;123;;N
Enköping;6;SP;841;2C;W;31;9;Y;Y;12;C;2;123;;N
Enköping;6;SP;841;1C;W;30;0;Y;Y;24;C;2;123;;N
Skogstibble;6;SP;158;3A;S;26;0;N;X;24,74;A;2;413;-277;Y
Skogstibble;6;SP;158;2A;S;32;6;N;X;13,416;A;2;413;-277;Y
Skogstibble;6;SP;158;3B;N;22;2;Y;X;24;B;2;136;;N
Skogstibble;6;SP;158;2B;N;33;19;Y;X;12;B;2;136;;N
Skogstibble;6;SP;158;2C;N;29;1;Y;Y;12;C;2;136;;N
Skogstibble;6;SP;158;1C;N;33;1;Y;Y;24;C;2;136;;N
Rovsättra;5,7;SR;267;3A;E;34;2;N;X;23,5;A;6;628;-153;Y
Rovsättra;5,7;SR;267;2A;E;29;3;N;X;12,746;A;6;628;-153;Y
Rovsättra;5,7;SR;267;3B;W;33;3;Y;X;22,8;B;6;475;;N
Rovsättra;5,7;SR;267;2B;W;30;19;Y;X;11,4;B;6;475;;N
Rovsättra;5,7;SR;267;2C;W;36;8;Y;Y;11,4;C;6;475;;N
Rovsättra;5,7;SR;267;1C;W;34;3;Y;Y;22,8;C;6;475;;N
Upplands-Väsby;6;SP;6168;3A;E;24;13;N;X;24,74;A;3;244;-148;Y
Upplands-Väsby;6;SP;6168;2A;E;27;6;N;X;13,416;A;3;244;-148;Y
Upplands-Väsby;6;SP;6168;3B;W;27;3;Y;X;24;B;3;96;;N
Upplands-Väsby;6;SP;6168;2B;W;27;3;Y;X;12;B;3;96;;N
Upplands-Väsby;6;SP;6168;2C;W;28;2;Y;Y;12;C;3;96;;N
Upplands-Väsby;6;SP;6168;1C;W;22;0;Y;Y;24;C;3;96;;N
Rimbo;6;SP;939;3A;N;52;0;N;X;24,74;A;2;695;-588;Y
Rimbo;6;SP;939;2A;N;42;6;N;X;13,416;A;2;695;-588;Y
Rimbo;6;SP;939;3B;S;27;1;Y;X;24;B;2;107;;N
Rimbo;6;SP;939;2B;S;48;4;Y;X;12;B;2;107;;N
Rimbo;6;SP;939;2C;S;50;18;Y;Y;12;C;2;107;;N
Rimbo;6;SP;939;1C;S;57;3;Y;Y;24;C;2;107;;N
Björklinge;6,2;SP;247;3A;N;39;1;N;X;25,563;A;1;183;52;Y
Björklinge;6,2;SP;247;2A;N;34;2;N;X;13,864;A;1;183;52;Y
Björklinge;6,2;SP;247;3B;S;33;10;Y;X;24,8;B;1;131;;N
Björklinge;6,2;SP;247;2B;S;47;13;Y;X;12,4;B;1;131;;N
Björklinge;6,2;SP;247;2C;S;18;6;Y;Y;12,4;C;1;131;;N
Björklinge;6,2;SP;247;1C;S;31;1;Y;Y;24,8;C;1;131;;N
